Address,area,city,Sum of Cost_For_Two,Count of costForTwoStrings.1 weighted by Count of name per costForTwoStrings.1,cuisines,Sum of deliveryTime,Sum of id,Sum of No_of_People Rated,Sum of Ratings,Restaurants_Name,TYPE,uuid
"",Azad Nagar,Bangalore,180,1,['Biryani'],58,118454,20,3.90,Hotel Bilal Biriyani Centre,NON-VEG,577e9192-8abf-46e7-8e7e-6d75a2f49c15
"",Kodihalli,Bangalore,150,1,['Healthy Food' 'Keto' 'North Indian' 'Continental'],54,224120,100,4.50,Lo! - Low Carb and Keto Foods,NON-VEG,04a84369-e4a6-4d93-9fd5-0262fa4c7e27
"",Peravallur,Chennai,250,1,['South Indian' 'North Indian' 'Chinese'],60,371156,100,4.10,Hotel Friends Food Court,NON-VEG,60f8babd-9914-43ff-a49d-4a8ee685a2d2
"",Santacruz East,Mumbai,500,1,['Indian' 'Chinese'],39,66509,100,4.40,Thotrin Cafe,NON-VEG,901cb216-2db9-4082-a484-a6f29d948407
  2-115/alaxma reddy colony uppal sub-register office laneuppal 500039.,Uppal,Hyderabad,150,1,['Italian' 'American'],72,8213,20,3.80,Crunchy's,NON-VEG,06cd9949-a1c0-4753-bede-9a52e1657bd5
  NO-27 1ST FLOOR SAFAL SQUARE VESU CHAR RASTA U.M. ROAD Surat Municipal Corporation Gujarat-395007,Piplod,Surat,500,1,['Pizzas' 'Chinese' 'Italian' 'Fast Food'],58,381309,20,3.70,La Festa,NON-VEG,6314557d-f183-470d-bfb7-b1ae5a403834
 11 1st floor K.B Dasan Road (next to Register Office) Alwarpet Chennai-600018,Alwarpet,Chennai,300,1,['Cafe' 'Snacks'],70,217781,20,4.90,Ricky's Cookies,NON-VEG,a5d39b1f-8b18-4175-a371-edf6ae9acb9f
 120 St.Marys road  Alwarpet Chennai Tamil Nadu 600018,Alwarpet,Chennai,1200,1,['Chinese' 'Thai' 'Malaysian'],72,16506,50,4.40,Chap Chay - The Raintree,NON-VEG,109460b9-c84b-4344-899d-f9157e5272b7
 128 USTAD ENAYAT KHAN AVENUE Locality & Area: LOWER RANGE,Ballygunge,Kolkata,200,1,['Indian'],63,113649,50,3.80,Rajshahi Restaurant,NON-VEG,a20bfc49-108b-4d19-835d-60e6a6d695c8
 14/ B NEW GITANAGAR SOCIETY OPP VISHALNAGAR AND D.N.MASTER SHOP 382443,Isanpur,Ahmedabad,0,1,['South Indian'],49,55365,20,4.10,Maruti Dhosa Hub,VEG,39a866c0-3507-4670-a8e8-9a6e9ccd94aa
 18 Shanti store market club Road,Ramesh Nagar,Delhi,250,1,['Indian' 'Chinese' 'Mughlai'],71,61028,50,3.80,PAPAJII & SONS (PUNJABI BAGH),NON-VEG,0ff4316d-9a40-4383-8cdc-70f4b43e9050
 19/7 Block J Ground Floor New Alipore kolkata 700053,New Alipore,Kolkata,1000,1,['Japanese' 'Sushi' 'Thai'],83,18591,50,3.50,The Sushi Oke,NON-VEG,6409dc2e-ac4d-4e8f-9a62-b48ee5bf4156
 1-9-1088/2 Ground floor  Pannalal ComplexBeside Bata showroomOU Road Vidyanagar Hyderabad,Adikmet,Hyderabad,300,1,['Fast Food'],51,74019,20,4.50,Eatz & Drinkzz,VEG,7a845d52-0be1-4688-b79d-876751952706
 2C KALI CHARAN GHOSH ROADKOLKATA 700050,Sinthee,Kolkata,200,1,['Bengali'],78,354620,50,3.70,CALCUTTA CABIN,NON-VEG,26d1e083-da78-4c3b-975b-6b4722264315
 2C KALI CHARAN GHOSH ROADKOLKATA 700050,Sinthee,Kolkata,200,1,['Indian' 'Bengali' 'Chinese' 'Combo' 'Oriental' 'Continental' 'Pizzas' 'Snacks' 'Beverages' 'North Indian' 'Healthy Food'],78,162494,100,3.90,Box It Up,NON-VEG,3c4c9373-10ec-40fb-9958-e5770e6b3b37
 2C KALI CHARAN GHOSH ROADKOLKATA 700050,Sinthee,Kolkata,400,1,['Italian' 'Snacks' 'Chinese' 'Desserts' 'Ice Cream' 'Indian' 'Combo' 'Beverages' 'Kebabs' 'Healthy Food' 'Continental'],74,22820,500,4.10,FoodPath,NON-VEG,27863b00-aea5-4fd7-9774-6be2e68c0d45
 32/1A Chakraberia Road SouthNear Punjab National Bank Kolkata 700025,Bhowanipore,Kolkata,450,1,['Italian' 'Chinese' 'Indian'],76,57426,100,4.00,Mavericks Cafe,NON-VEG,950b7f60-101d-400f-b97f-53b8d321a7a7
 3-4-34  Kachiguda station road,Kachiguda,Hyderabad,200,1,['South Indian'  'North Indian'  'Chinese'],30,399611,100,4.50,Hotel Woodside (Veg),NON-VEG,4f9d1f40-c02b-41a3-be03-12f77f232119
 41873 FLAT NO201  203CC BLOCk BUSINESS TOWER CENTR TILAK ROAD ABIDS MUSHEERABAD Circle No7 Old MCH CircleIV Abid Hyderabad  Central Zone Telangana 500001,Koti,Hyderabad,400,1,['Indian'],34,356513,20,3.80,Mandi Pride,NON-VEG,8022fe05-6669-4b07-9786-add6a2f14af9
 48 Bangur Avenue Block - C Near Apanjan Park Kolkata - 700055,Lake Town,Kolkata,250,1,['Home Food' 'Bengali' 'Indian' 'Thalis' 'Snacks'],81,264058,20,3.80,PIPIZ KITCHEN,NON-VEG,7da3b013-e655-4730-b0d4-ab51db08ce73
 5 SARADA PALLYBLOCK -DPOLICE STATION KASBAkolkata  BASANTI South Twenty Four Parganas West Bengal 700039,Kasba,Kolkata,200,1,['Chinese' 'Combo'],73,366571,20,4.20,FUSION OF CHINA,NON-VEG,1b50d023-077e-4315-890a-c760bae825bc
 6/A-1/354g.f.sector-6 rohini  On 6 and 7 dividing road,Rohini,Delhi,300,1,['Bakery' 'Tandoor' 'Fast Food' 'Chinese' 'Continental'],37,427388,20,4.30,EAT THRILL ZONE,VEG,5d1c9c3d-0522-437f-9798-d1c750df9bde
 60/9A Gouribari lane  kolkata 700004,Central Kolkata,Kolkata,200,1,['Biryani'  'Indian'  'Mughlai'],56,106722,20,3.30,Royal Singh da Dhaba,NON-VEG,819a2e93-9668-4b74-89b9-39eab10f4917
 60/9A Gouribari lane kolkata 700004,Central Kolkata,Kolkata,250,1,['Biryani' 'Indian' 'Mughlai' 'North Indian' 'Chinese'],62,190721,20,3.30,Gupta Dhaba,NON-VEG,a2e28091-7011-45a4-b9f1-9363c569c78c
 605/606 Sachapir Street Camp Camp Area next to Sachapir Dargah opp Convent Hotel Pune 411001,Sadar Bazaar,Pune,250,1,['Indian'],31,236833,50,4.30,Red Hot Chinese Center,NON-VEG,f848e466-7b3f-4b11-91a7-ece378946605
 753 2nd Street 10th Main Road Anna Nagar,Anna Nagar,Chennai,300,1,['Italian-American'],70,374113,20,4.30,Taste of Italy,NON-VEG,721fe72e-7795-4582-89b3-968bdc8cb91c
 8161   F MAIN  5TH BLOCK  RAJAJINAAR  BANGALORE  560010,Rajajinagar,Bangalore,300,1,['Pizzas' 'Italian' 'Desserts' 'Beverages' 'Fast Food' 'Snacks'],55,343594,20,4.00,SICILIA PONT (ITALIAN RESTAURANT ),VEG,7cd5a12e-32f7-4b05-b43c-2b52fd62168b
 9-4-62/140/1-A Nizam colony Tolichowki. Near Pasha chicken center behind Limra garden function hall,Toli Chowki,Hyderabad,300,1,['Indian'],73,330456,100,4.10,Sounds Cheesy,NON-VEG,524f40f6-1595-4c87-95e6-9d8457575ae3
 A-11 Ajim Manzil Pream Nagar Sakivihar road Near Ruchi hotel & ICICI Bank Powai,Andheri East,Mumbai,250,1,['Fast Food'],61,223311,50,4.60,Only Roti's,NON-VEG,0cc29edc-a292-45b2-86c1-caaaf681f945
 Address 208 Archarya Prafulla Chandra Road Kolkata-7000004,Burrabazar,Kolkata,240,1,['Chinese' 'Biryani' 'Combo' 'Kebabs'],51,388994,20,4.50,Tripti Snacks Bar,NON-VEG,823ec6f8-5a6d-4606-9c87-e3aa4de7c276
 B-948 sector 1rohini Avantika. ( Near masjid) new delhi,Sector 1 Rohini,Delhi,99,1,['Bakery' 'Chinese' 'Snacks' 'Desserts'],28,225792,100,3.80,Cake Studio-100% Veg,VEG,45d6ccce-c45d-4360-beb2-a05e081a9a69
 BA-3 Salt Lake CitySector-1 Kolkata- 64,Bidhannagar,Kolkata,100,1,['North Indian' 'Indian' 'Combo' 'Chinese' 'Healthy Food'],58,9215,100,4.00,Veg Dhaba,NON-VEG,8d104d87-c5a8-447d-9624-62d9dcdb4404
 DOOR NO.93 NEW NO.133 SIR THYAGARAYA  ROAD T.NAGAR CHENNAI Chennai Corp.  Ward - 136 Chennai Tamil Nadu-600017,T Nagar,Chennai,200,1,['South Indian' 'North Indian' 'Chaat' 'Sweets'],73,405352,500,4.40,GNANAMBIGA VEG,NON-VEG,b4d93e20-0bdc-4db4-b120-f2d7a74dd41c
 Fast food Corner By Tejal's kitchen   Gala No 3 Chabra Compound Shivaji Nagar Vakola  Near Grand Hayatt and Centaur Hotel  Santacruz East  Mumbai,Santacruz East,Mumbai,400,1,['Gujarati' 'Rajasthani' 'Jain'],49,324194,500,4.40,Tejal's Kitchen,VEG,6c4dd248-13d1-41b8-ab6c-a044305bbf2a
 Hari Kunj 1 Opp Acres Club Gate No2,Chembur,Mumbai,200,1,['Chaat' 'Snacks' 'Fast Food'],48,303951,100,4.00,C SQUARE CHAT CAFE,VEG,51b48dfb-871b-4c19-990a-45037eb8fd0a
 Infinitea Restaurant 17/1-2 Shah Sultan Complex Opp Yes Bank Cunningham RoadBengaluru - 560052,Vasanth Nagar,Bangalore,1200,1,['Continental' 'Desserts' 'Healthy Food'],44,231740,20,4.20,Ketogenic Foods,NON-VEG,d005786c-3f22-469c-8913-1546097625f4
'- JC Nagar Main Rd S.G. Palya Munireddypalya Jayamahal Bengaluru Karnataka 560006,Frazer Town,Bangalore,199,1,['North Indian' 'Home Food' 'Indian' 'Beverages' 'Thalis' 'Combo'],52,429935,50,4.10,Voosh Thalis & Bowls,NON-VEG,d884534a-d602-48a3-94dc-a1bb8b7857ed
 K4 3rd mainLN puram srirampuramBangalore 560021,Malleshwaram,Bangalore,150,1,['Arabian' 'Fast Food'],54,379251,20,4.30,SHAWARMA21,NON-VEG,d26b44e9-5040-4512-803b-0911da4370de
 Kanakia sevens shop no 19 .J.B nagar Andheri Kurla Road opposite Times squareMarol NakaAndheri east Mumbai 400059.,Andheri East,Mumbai,200,1,['Indian'],46,375137,50,3.80,Kusum rolls,NON-VEG,c0372518-139e-4367-953d-94a1cc860803
 Ketana 283 Block A Bangur Avenue Kolkata,Lake Town,Kolkata,250,1,['Indian'],78,378436,100,4.40,Ketana,NON-VEG,85263eaa-6018-48a8-8baf-f6111602fdb7
 King Circle  Bhaudaji Rd  Matunga  Mumbai  Maharashtra 400019,Matunga,Mumbai,750,1,['Mughlai'  'North Indian'  'Chinese'  'Seafood'],58,25562,20,4.30,New Punjab Restaurant & Bar (King circle),NON-VEG,8a7cb687-aa97-433a-8a7b-fd39b49b2dda
 Kitchen no: 3 Unit No-4 Trade Centre Ground Floor Bandra Kurla Complex Opp. MTNL Building Bandra East Mumbai - 400051,Santacruz East,Mumbai,800,1,['Chinese' 'Asian' 'Thai' 'Seafood'],41,13806,100,4.40,Mr. Chows,NON-VEG,878314f1-eea8-4026-a0b3-547321774218
 L33 G block 1st Avenue brindavan colony,Annanagar East,Chennai,1000,1,['South Indian' 'North Indian' 'Chinese' 'Continental' 'Tandoor'],64,357681,20,4.30,THE VOID,NON-VEG,71221f45-379d-4ad2-80bd-0822e640f8a8
 N284 sukanta nagar sector 4 salt lake,salt lake area,Kolkata,200,1,['Chinese' 'Tibetan'],58,47964,50,3.90, momoZon,NON-VEG,5e907e64-4c1f-4301-8643-2496f37db089
 No386 Thapalpatti Madhavaram.,Madhavaram,Chennai,150,1,['South Indian'],66,316772,100,4.00,Idlicurry,NON-VEG,fba31137-ba82-495a-9d4a-2679ce10f812
 Office No. 2/101st Floor Deccan Tower  Sr No. 14 Solapur Road Pulgate Pune Maharashtra 411001.,Camp,Pune,500,1,['Healthy Food' 'Salads' 'Continental' 'Juices' 'Seafood' 'Beverages'],45,106058,100,4.20,Fit Food Company,NON-VEG,648cd5f2-745d-486b-bd01-7175693a832e
 P 324 CT Road   Scheme VI M Kankurgachi Kolkata 700054,Kankurgachi,Kolkata,250,1,['Snacks'  'Desserts'  'Beverages'],41,361739,100,4.30,Cafe 324,VEG,69d1dc1d-a14d-43d9-8c50-f3dfd2531aba
 Sarve No 34/12 House no 1385 Chandrabhaga niwasMaratha Society Dhankawadi Pune (M Corp),Dhankawadi,Pune,200,1,['Indian'],71,290158,20,3.90,Hotel Dattaprasad,NON-VEG,11c35e4b-af5a-47e5-b521-57cc9696aaa1
 SHOP NO 3 KANTHARIA MAHAL L.B.S. MARG KURLA WEST MUMBAI-400070 Greater Mumbai Ward-L Greater Mumbai Maharashtra 400070,Kurla West,Mumbai,300,1,['Mughlai' 'Chinese' 'Tandoor'],39,353712,50,3.80,K-70 Food Hub,NON-VEG,e076488d-1913-4047-8298-dc167545d8e3
 Shop No G3-A SD Shoppers Arcade DD Community Center DC Chowk Market Sector 9 Rohini  110085.,Rohini,Delhi,250,1,['Italian' 'Continental' 'Beverages' 'Fast Food' 'Combo'],47,163212,20,3.60,The Hungry Pit,NON-VEG,d3e922eb-b306-42ba-8cee-cedfdf1fbbbc
 Shop No. 23  first floor  plot number 467A  Vora Bhavan  King Circle  Matunga 400019,Matunga,Mumbai,500,1,['American'  'European'  'Continental'],58,233248,100,4.00,Breakfast Bistro,NON-VEG,b0e861c5-2944-4261-8da3-1679733df557
 Shop no.5 & 6 Bhoj bhawan Shivpuri Colony S.T. Road Chembur naka Mumbai-400071,Chembur,Mumbai,400,1,['North Indian'],50,391408,100,4.10,Chulah - The Amritsari Dhaba,NON-VEG,361e53de-d170-4f1a-9b23-7daa2de5b007
 Sr No. 42/1A/24 Akhil Society Shop No 4 Karve Road In Front of SNDT College Near Bajaj Showroom Kothrud Pune  Pune PMC Maharashtra-411004.,Erandwane,Pune,200,1,['Bakery' 'Desserts' 'Ice Cream'],51,213654,100,4.30,WarmOven Cake & Desserts,NON-VEG,1bbd93f3-2c1f-4f32-8fb6-f3bdc52ce4fc
 Unnamed Road Indira Nagar Dilsukhnagar Hyderabad Telangana 500036,Dilsukhnagar,Hyderabad,200,1,['Chinese' 'Fast Food'],39,70894,100,4.20,Chinese by Sahadeva Reddy,NON-VEG,3aafb4b9-5a19-4a9e-a930-9e938a88c9fa
# 121  50 ft road  Hanumanthnagar  Bangalore  560004,Basavanagudi,Bangalore,280,1,['Indian' 'Bakery' 'Sweets'],54,380189,20,4.30,THE CAKE HOUSE,NON-VEG,772e3a0b-ea76-45e7-8322-410d4c643fe5
# 20/A 5th Block Kormangala Next To Masjid-E-Mamoor Banglore-95,Koramangala,Bangalore,250,1,['Biryani' 'Mughlai' 'Indian' 'Beverages'],54,63957,1000,4.10,Madeena Hotel,NON-VEG,338d4ee3-7647-4cfb-a56e-cf1e36564244
# 27 Dickenson Road,Sivanchetti Gardens,Bangalore,150,1,['Gujarati' 'Rajasthani' 'Fast Food'],38,2846,20,3.10,Tewari Bros Mithai Shop,VEG,3ffb7d27-0d97-4048-b85d-e30232ba93a6
# 328 1St Block 3rd main R.T NagarBangalore 560032,R.T. Nagar,Bangalore,400,1,['Arabian' 'Chinese' 'Fast Food' 'Beverages' 'Mughlai'],57,432536,100,3.90,Raidan,NON-VEG,76a1dfc9-52ee-43e9-a262-effd1705ffa3
# 5-5-449M-8 blockAjanta Gate Exhibition Ground M.J.Road Hyderabad,Nampally,Hyderabad,200,1,['Indian' 'Biryani' 'Chinese'],29,303130,100,4.40,Hotel Shezan - Exhibition Ground,NON-VEG,c7d3091e-2d74-461d-bf48-3fbc260c1923
# 57 6th croos next to A2B restaurant near SSLC board Sampige road Malleshwaram  Bangalore- 560003,Malleshwaram,Bangalore,120,1,['Desserts' 'South Indian' 'Sweets'],54,52927,100,4.40,Malleshwaram Holige Mane,VEG,da0e3330-1f5f-451b-aed4-bf146ee7cd56
# 58 Coles Rd opposite Yes Bank Cleveland Town Pulikeshi Nagar Bengaluru Karnataka 560005 India,Pulikeshi Nagar,Bangalore,100,1,['Bengali' 'Snacks' 'Sweets'],45,353897,100,4.40,KC DAS Sweet bite,NON-VEG,3de7d437-f695-4bff-bb09-238e0c656d33
# 6 Near Casablanca Apartment 5th cross Markham Rd Ashok Nagar Bengaluru Karnataka 560025,Ashok Nagar,Bangalore,150,1,['Fast Food' 'North Indian' 'Snacks' 'Street Food' 'Beverages' 'Chaat'],36,312660,500,4.50,Samosa Party,NON-VEG,0465c771-763f-4fff-bed7-babeaa850ad8
# 72nd main 9th Cross 1st Stage Indiranagar Bangalore - 560038.,Indiranagar,Bangalore,250,1,['Biryani'],59,115730,50,3.70,Biryani Khazana,NON-VEG,4d5a916a-393a-4b11-aaaf-72f141b7e6ed
# 8 1st main road mountjoy road hanumanthnagar bangalore -560019 behind B.M.S engineering college hostel,Banashankari,Bangalore,400,1,['Desserts'],45,26814,50,3.90,Just Bake - Bakery Desserts Cakes & Confectioners,NON-VEG,14173a6b-db73-4866-a3fa-66a51c7b199c
# 9744th Cross80 feet main roadKoramangala560034,Koramangala,Bangalore,1200,1,['Pan-Asian' 'Singaporean' 'Malaysian' 'Japanese' 'Asian' 'Chinese' 'Indonesian'],61,81944,100,4.60,Nasi and Mee,NON-VEG,4b388ede-bfb5-4e94-b8b6-26345f221e5b
